날짜,요일,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm)
2016-02-01,월,0.9,0.0,1.5,31.0,0.0
2016-02-02,화,2.4,0.0,1.3,28.0,0.0
2016-02-03,수,3.0,0.0,0.4,39.0,0.0
2016-02-04,목,4.0,0.0,0.5,35.0,0.0
2016-02-05,금,5.7,0.0,2.6,15.0,0.0
2016-02-08,월,7.6,0.0,4.0,20.0,0.0
2016-02-09,화,6.6,0.0,1.6,18.0,0.0
2016-02-10,수,7.8,0.0,1.4,15.0,0.0
2016-02-11,목,11.8,0.0,1.9,51.0,0.0
2016-02-12,금,11.7,20.4,2.1,91.0,0.0
2016-02-15,월,0.1,0.0,1.7,30.0,0.0
2016-02-16,화,3.8,0.0,4.6,48.0,0.0
2016-02-17,수,5.1,0.0,0.6,31.0,0.0
2016-02-18,목,7.7,0.0,1.7,45.0,0.0
2016-02-19,금,9.0,0.0,2.2,36.0,0.0
2016-02-22,월,6.1,0.0,0.7,36.0,0.0
2016-02-23,화,8.3,0.0,2.3,29.0,0.0
2016-02-24,수,4.0,0.0,2.9,22.0,0.0
2016-02-25,목,5.3,0.0,0.7,22.0,0.0
2016-02-26,금,6.7,0.0,0.2,55.0,0.0
2016-02-29,월,-1.1,0.0,2.7,48.0,0.0
2016-03-01,화,5.0,0.0,0.9,30.0,0.0
2016-03-02,수,9.2,0.0,3.1,35.0,0.0
2016-03-03,목,13.1,0.0,1.7,44.0,0.0
2016-03-04,금,9.1,20.3,0.6,89.0,0.0
2016-03-07,월,13.5,0.0,1.3,56.0,0.0
2016-03-08,화,9.3,0.0,1.1,37.0,0.0
2016-03-09,수,10.7,0.0,2.5,23.0,0.0
2016-03-10,목,6.2,0.0,3.7,19.0,0.0
2016-03-11,금,6.5,0.0,3.0,21.0,0.0
2016-03-14,월,10.7,0.0,3.3,27.0,0.0
2016-03-15,화,9.8,0.0,1.9,30.0,0.0
2016-03-16,수,14.5,0.0,1.7,29.0,0.0
2016-03-17,목,14.1,0.0,2.7,40.0,0.0
2016-03-18,금,11.9,0.6,0.2,90.0,0.0
2016-03-21,월,11.8,0.0,2.6,51.0,0.0
2016-03-22,화,15.7,0.0,2.6,35.0,0.0
2016-03-23,수,12.5,0.0,1.3,53.0,0.0
2016-03-24,목,9.7,0.0,1.5,44.0,0.0
2016-03-25,금,9.0,0.0,1.8,56.0,0.0
2016-03-28,월,14.8,0.0,2.1,25.0,0.0
2016-03-29,화,14.9,0.0,1.6,48.0,0.0
2016-03-30,수,17.8,0.0,1.8,32.0,0.0
2016-03-31,목,16.0,0.0,1.5,60.0,0.0
2016-04-01,금,18.3,0.0,1.3,31.0,0.0
2016-04-04,월,12.1,0.0,0.8,78.0,0.0
2016-04-05,화,17.7,0.0,1.5,31.0,0.0
2016-04-06,수,13.5,0.0,0.7,62.0,0.0
2016-04-07,목,16.5,0.0,1.2,69.0,0.0
2016-04-08,금,20.6,0.0,1.5,24.0,0.0
2016-04-11,월,11.2,0.0,2.5,57.0,0.0
2016-04-12,화,15.7,0.0,2.0,38.0,0.0
2016-04-13,수,15.0,0.1,0.9,90.0,0.0
2016-04-14,목,23.5,0.0,2.4,17.0,0.0
2016-04-15,금,17.3,0.0,1.9,44.0,0.0
2016-04-18,월,18.0,0.0,5.0,29.0,0.0
2016-04-19,화,16.9,0.0,2.3,28.0,0.0
2016-04-20,수,16.1,0.0,2.9,45.0,0.0
2016-04-21,목,17.1,0.0,0.8,83.0,0.0
2016-04-22,금,20.4,0.0,1.0,51.0,0.0
2016-04-25,월,21.8,0.0,2.0,23.0,0.0
2016-04-26,화,20.6,0.0,1.4,44.0,0.0
2016-04-27,수,11.1,3.9,2.5,86.0,0.0
2016-04-28,목,17.4,0.0,1.3,67.0,0.0
2016-04-29,금,17.0,0.0,2.3,54.0,0.0
2016-05-02,월,20.4,0.0,2.6,70.0,0.0
2016-05-03,화,14.4,0.0,4.1,60.0,0.0
2016-05-04,수,22.8,0.0,4.1,12.0,0.0
2016-05-05,목,19.7,0.0,1.9,23.0,0.0
2016-05-06,금,19.8,0.0,1.6,77.0,0.0
2016-05-09,월,19.6,0.0,1.7,49.0,0.0
2016-05-10,화,13.4,0.7,2.5,86.0,0.0
2016-05-11,수,18.6,0.0,1.8,58.0,0.0
2016-05-12,목,21.5,0.0,2.7,36.0,0.0
2016-05-13,금,19.4,0.0,4.3,58.0,0.0
2016-05-16,월,20.6,0.0,2.4,25.0,0.0
2016-05-17,화,25.2,0.0,2.9,27.0,0.0
2016-05-18,수,26.6,0.0,1.8,33.0,0.0
2016-05-19,목,26.4,0.0,1.7,25.0,0.0
2016-05-20,금,25.9,0.0,1.7,24.0,0.0
2016-05-23,월,24.6,0.0,1.5,36.0,0.0
2016-05-24,화,19.6,0.0,0.6,87.0,0.0
2016-05-25,수,24.1,0.0,1.8,49.0,0.0
2016-05-26,목,24.1,0.0,1.9,50.0,0.0
2016-05-27,금,23.4,0.0,1.0,48.0,0.0
2016-05-30,월,25.9,0.0,2.3,33.0,0.0
2016-05-31,화,25.4,0.0,0.9,47.0,0.0
2016-06-01,수,23.5,0.0,2.6,40.0,0.0
2016-06-02,목,23.3,0.0,1.6,38.0,0.0
2016-06-03,금,24.5,0.0,1.8,43.0,0.0
2016-06-06,월,18.6,0.0,1.2,84.0,0.0
2016-06-07,화,23.9,0.0,1.1,64.0,0.0
2016-06-08,수,22.9,0.0,2.0,74.0,0.0
2016-06-09,목,23.0,0.0,2.2,68.0,0.0
2016-06-10,금,25.7,0.0,2.5,52.0,0.0
2016-06-13,월,23.7,0.0,2.2,66.0,0.0
2016-06-14,화,24.2,0.0,1.7,63.0,0.0
2016-06-15,수,22.9,0.0,1.7,80.0,0.0
2016-06-16,목,25.8,0.0,1.8,45.0,0.0
2016-06-17,금,25.6,0.0,2.4,50.0,0.0
2016-06-20,월,22.9,0.0,2.0,86.0,0.0
2016-06-21,화,23.8,0.0,1.8,79.0,0.0
2016-06-22,수,21.7,2.2,0.5,89.0,0.0
2016-06-23,목,25.2,0.0,1.6,60.0,0.0
2016-06-24,금,26.5,0.0,1.0,63.0,0.0
2016-06-27,월,21.4,0.0,1.6,83.0,0.0
2016-06-28,화,22.6,0.0,1.7,60.0,0.0
2016-06-29,수,23.3,0.0,0.8,71.0,0.0
2016-06-30,목,24.3,0.0,1.9,75.0,0.0
2016-07-01,금,23.2,6.8,1.7,87.0,0.0
2016-07-04,월,26.5,0.0,1.2,81.0,0.0
2016-07-05,화,27.0,0.0,1.8,79.0,0.0
2016-07-06,수,27.4,0.0,1.7,71.0,0.0
2016-07-07,목,27.5,0.0,1.7,67.0,0.0
2016-07-08,금,29.9,0.0,1.4,53.0,0.0
2016-07-11,월,24.6,0.0,1.0,85.0,0.0
2016-07-12,화,24.8,0.0,0.9,84.0,0.0
2016-07-13,수,28.6,0.0,1.8,68.0,0.0
2016-07-14,목,31.1,0.0,2.1,49.0,0.0
2016-07-15,금,25.2,0.0,2.2,63.0,0.0
2016-07-18,월,28.4,0.0,1.8,56.0,0.0
2016-07-19,화,27.7,0.0,1.5,63.0,0.0
2016-07-20,수,28.1,0.0,1.9,61.0,0.0
2016-07-21,목,27.2,0.0,1.7,64.0,0.0
2016-07-22,금,27.0,0.0,1.5,64.0,0.0
2016-07-25,월,28.9,0.0,1.3,70.0,0.0
2016-07-26,화,30.3,0.0,2.3,65.0,0.0
2016-07-27,수,29.1,0.0,1.6,66.0,0.0
2016-07-28,목,29.7,0.0,2.4,70.0,0.0
2016-07-29,금,30.1,0.0,2.2,67.0,0.0
2016-08-01,월,29.3,0.0,1.5,65.0,0.0
2016-08-02,화,25.1,0.2,3.0,74.0,0.0
2016-08-03,수,29.0,0.0,1.2,66.0,0.0
2016-08-04,목,30.2,0.0,2.1,58.0,0.0
2016-08-05,금,31.3,0.0,2.4,53.0,0.0
2016-08-08,월,25.1,0.2,1.7,80.0,0.0
2016-08-09,화,28.0,0.0,0.7,79.0,0.0
2016-08-10,수,31.7,0.0,1.3,56.0,0.0
2016-08-11,목,32.4,0.0,2.0,56.0,0.0
2016-08-12,금,33.7,0.0,1.5,52.0,0.0
2016-08-15,월,26.5,0.1,0.6,85.0,0.0
2016-08-16,화,28.9,0.0,0.7,68.0,0.0
2016-08-17,수,25.3,0.7,0.7,87.0,0.0
2016-08-18,목,30.5,0.0,1.8,56.0,0.0
2016-08-19,금,30.0,0.0,1.9,60.0,0.0
2016-08-22,월,30.4,0.0,2.8,57.0,0.0
2016-08-23,화,29.4,0.0,1.9,57.0,0.0
2016-08-24,수,31.2,0.0,1.6,46.0,0.0
2016-08-25,목,30.4,0.0,1.9,58.0,0.0
2016-08-26,금,19.5,0.0,2.6,85.0,0.0
2016-08-29,월,25.8,0.0,2.4,33.0,0.0
2016-08-30,화,24.3,0.0,2.9,45.0,0.0
2016-08-31,수,26.7,0.0,3.2,34.0,0.0
2016-09-01,목,27.3,0.0,2.6,58.0,0.0
2016-09-02,금,19.9,4.4,1.1,90.0,0.0
2016-09-05,월,26.9,0.0,0.7,78.0,0.0
2016-09-06,화,25.0,0.0,0.8,83.0,0.0
2016-09-07,수,24.5,0.0,0.0,82.0,0.0
2016-09-08,목,26.8,0.0,0.6,54.0,0.0
2016-09-09,금,26.0,0.0,0.0,61.0,0.0
