瘤痢,瘤痢疙,老矫,扁柯(∑C),扁柯 QC敲贰弊,碍荐樊(mm),碍荐樊 QC敲贰弊,浅加(m/s),浅加 QC敲贰弊,浅氢(16规困),浅氢 QC敲贰弊,嚼档(%),嚼档 QC敲贰弊,刘扁拘(hPa),捞浇痢柯档(∑C),利汲(cm),3矫埃脚利汲(cm)
192,柳林,2018-01-01 01:00,-2.1,0,,,.5,0,340,0,51,0,2.7,-10.9,,
192,柳林,2018-01-01 02:00,-3.6,0,,,.1,0,0,0,62,0,2.9,-9.8,,
192,柳林,2018-01-01 03:00,-3.9,0,,,.4,0,0,0,65,0,3,-9.5,,
192,柳林,2018-01-01 04:00,-4.9,0,,,.2,0,0,0,71,0,3,-9.3,,
192,柳林,2018-01-01 05:00,-5,0,,,.5,0,270,0,75,0,3.2,-8.7,,
192,柳林,2018-01-01 06:00,-4.1,0,,,.7,0,340,0,77,0,3.5,-7.5,,
192,柳林,2018-01-01 07:00,-3.9,0,,,.9,0,270,0,75,0,3.5,-7.6,,
192,柳林,2018-01-01 08:00,-4.1,0,,,.5,0,290,0,73,0,3.3,-8.2,,
192,柳林,2018-01-01 09:00,-1.4,0,,,.6,0,290,0,66,0,3.6,-6.9,,
192,柳林,2018-01-01 10:00,1.4,0,,,.9,0,250,0,51,0,3.5,-7.6,,
192,柳林,2018-01-01 11:00,3.7,0,,,1.5,0,250,0,33,0,2.6,-11.1,,
192,柳林,2018-01-01 12:00,5.6,0,,,2.3,0,320,0,24,0,2.2,-13.4,,
192,柳林,2018-01-01 13:00,6.4,0,,,3.5,0,360,0,20,0,1.9,-14.9,,
192,柳林,2018-01-01 14:00,6.7,0,,,4.3,0,360,0,21,0,2.1,-14.1,,
192,柳林,2018-01-01 15:00,7.2,0,,,3.3,0,340,0,22,0,2.2,-13.1,,
192,柳林,2018-01-01 16:00,6.9,0,,,2.8,0,340,0,23,0,2.3,-12.8,,
192,柳林,2018-01-01 17:00,5.9,0,,,2.6,0,340,0,26,0,2.4,-12.1,,
192,柳林,2018-01-01 18:00,4.9,0,,,2.7,0,340,0,29,0,2.5,-11.6,,
192,柳林,2018-01-01 19:00,4,0,,,2.9,0,340,0,31,0,2.5,-11.6,,
192,柳林,2018-01-01 20:00,3.2,0,,,2.6,0,340,0,34,0,2.6,-11.1,,
192,柳林,2018-01-01 21:00,1.5,0,,,1.5,0,20,0,40,0,2.7,-10.6,,
192,柳林,2018-01-01 22:00,-1.3,0,,,.4,0,0,0,51,0,2.8,-10.1,,
192,柳林,2018-01-01 23:00,-2.8,0,,,.2,0,0,0,58,0,2.9,-9.9,,
192,柳林,2018-01-02 00:00,-3,0,,,1,0,50,0,60,0,3,-9.6,,
192,柳林,2018-01-02 01:00,-4,0,,,.1,0,0,0,65,0,3,-9.6,,
192,柳林,2018-01-02 02:00,-4.6,0,,,.2,0,0,0,71,0,3.1,-9,,
192,柳林,2018-01-02 03:00,-5.4,0,,,.3,0,0,0,75,0,3.1,-9.1,,
192,柳林,2018-01-02 04:00,-6.1,0,,,.4,0,0,0,77,0,3,-9.4,,
192,柳林,2018-01-02 05:00,-6.4,0,,,.2,0,0,0,79,0,3,-9.4,,
192,柳林,2018-01-02 06:00,-6.9,0,,,.2,0,0,0,79,0,2.9,-9.9,,
192,柳林,2018-01-02 07:00,-7.2,0,,,0,0,0,0,82,0,2.9,-9.7,,
192,柳林,2018-01-02 08:00,-7,0,,,.2,0,0,0,82,0,3,-9.5,,
192,柳林,2018-01-02 09:00,-3.7,0,,,.6,0,140,0,72,0,3.3,-8,,
192,柳林,2018-01-02 10:00,.3,0,,,.3,0,0,0,54,0,3.4,-7.9,,
192,柳林,2018-01-02 11:00,3.6,0,,,.4,0,0,0,39,0,3.1,-9,,
192,柳林,2018-01-02 12:00,5.7,0,,,1.1,0,270,0,28,0,2.6,-11.4,,
192,柳林,2018-01-02 13:00,7.1,0,,,1.4,0,320,0,25,0,2.5,-11.6,,
192,柳林,2018-01-02 14:00,8.1,0,,,1.3,0,180,0,19,0,2.1,-14.1,,
192,柳林,2018-01-02 15:00,8.6,0,,,1.4,0,200,0,20,0,2.2,-13.1,,
192,柳林,2018-01-02 16:00,8.6,0,,,1,0,180,0,25,0,2.8,-10.3,,
192,柳林,2018-01-02 17:00,7.2,0,,,.9,0,340,0,31,0,3.1,-8.8,,
192,柳林,2018-01-02 18:00,4.4,0,,,.9,0,50,0,49,0,4.1,-5.4,,
192,柳林,2018-01-02 19:00,4.7,0,,,1.6,0,70,0,56,0,4.8,-3.3,,
192,柳林,2018-01-02 20:00,5.2,0,,,1.9,0,70,0,53,0,4.7,-3.6,,
192,柳林,2018-01-02 21:00,3.6,0,,,1.4,0,50,0,56,0,4.4,-4.3,,
192,柳林,2018-01-02 22:00,.6,0,,,.8,0,360,0,71,0,4.5,-4,,
192,柳林,2018-01-02 23:00,-.3,0,,,.1,0,0,0,74,0,4.4,-4.3,,
192,柳林,2018-01-03 00:00,-.7,0,,,.1,0,0,0,76,0,4.4,-4.4,,
192,柳林,2018-01-03 01:00,3.5,0,,,3.3,0,360,0,27,0,2.1,-13.7,,
192,柳林,2018-01-03 02:00,.8,0,,,1.1,0,320,0,48,0,3.1,-8.9,,
192,柳林,2018-01-03 03:00,2.7,0,,,2.6,0,20,0,22,0,1.6,-16.9,,
192,柳林,2018-01-03 04:00,1.4,0,,,1.7,0,20,0,21,0,1.4,-18.6,,
192,柳林,2018-01-03 05:00,.9,0,,,2,0,20,0,21,0,1.4,-19,,
192,柳林,2018-01-03 06:00,-.2,0,,,1.2,0,90,0,27,0,1.6,-16.9,,
192,柳林,2018-01-03 07:00,-1.3,0,,,.6,0,90,0,30,0,1.7,-16.6,,
192,柳林,2018-01-03 08:00,-2.7,0,,,.2,0,0,0,37,0,1.8,-15.4,,
192,柳林,2018-01-03 09:00,.2,0,,,.3,0,0,0,43,0,2.7,-10.9,,
192,柳林,2018-01-03 10:00,2.3,0,,,1,0,230,0,24,0,1.7,-16.2,,
192,柳林,2018-01-03 11:00,4.2,0,,,1,0,110,0,20,0,1.6,-16.8,,
192,柳林,2018-01-03 12:00,4.8,0,,,2.2,0,250,0,17,0,1.5,-18.2,,
192,柳林,2018-01-03 13:00,6.2,0,,,1.6,0,250,0,17,0,1.6,-17.1,,
192,柳林,2018-01-03 14:00,6.1,0,,,3.1,0,360,0,14,0,1.3,-19.4,,
192,柳林,2018-01-03 15:00,6.2,0,,,3.1,0,360,0,14,0,1.3,-19.4,,
192,柳林,2018-01-03 16:00,5.8,0,,,3.3,0,340,0,15,0,1.4,-18.9,,
192,柳林,2018-01-03 17:00,4.6,0,,,2.1,0,340,0,17,0,1.4,-18.4,,
192,柳林,2018-01-03 18:00,3.5,0,,,2.6,0,340,0,20,0,1.6,-17.4,,
192,柳林,2018-01-03 19:00,2.2,0,,,2.2,0,20,0,26,0,1.9,-15.3,,
192,柳林,2018-01-03 20:00,-.3,0,,,.5,0,20,0,32,0,1.9,-15,,
192,柳林,2018-01-03 21:00,-1.5,0,,,.8,0,320,0,40,0,2.2,-13.3,,
192,柳林,2018-01-03 22:00,-2.8,0,,,.8,0,20,0,46,0,2.3,-12.8,,
192,柳林,2018-01-03 23:00,-2,0,,,.6,0,50,0,40,0,2.1,-13.8,,
192,柳林,2018-01-04 00:00,.3,0,,,1.5,0,360,0,29,0,1.8,-15.7,,
192,柳林,2018-01-04 01:00,-.1,0,,,.8,0,50,0,32,0,1.9,-14.8,,
192,柳林,2018-01-04 02:00,-.3,0,,,1.4,0,360,0,34,0,2,-14.2,,
192,柳林,2018-01-04 03:00,-.5,0,,,.7,0,20,0,33,0,1.9,-14.8,,
192,柳林,2018-01-04 04:00,-.8,0,,,.9,0,20,0,34,0,2,-14.7,,
192,柳林,2018-01-04 05:00,-1.1,0,,,.4,0,0,0,34,0,1.9,-15,,
192,柳林,2018-01-04 06:00,-2,0,,,.6,0,360,0,36,0,1.9,-15.1,,
192,柳林,2018-01-04 07:00,-1.6,0,,,1,0,50,0,34,0,1.8,-15.4,,
192,柳林,2018-01-04 08:00,-1.7,0,,,1.3,0,20,0,34,0,1.8,-15.5,,
192,柳林,2018-01-04 09:00,-1.3,0,,,1.7,0,70,0,37,0,2.1,-14.1,,
192,柳林,2018-01-04 10:00,-.4,0,,,1.9,0,90,0,35,0,2.1,-14,,
192,柳林,2018-01-04 11:00,.7,0,,,.9,0,360,0,33,0,2.1,-13.7,,
192,柳林,2018-01-04 12:00,2.4,0,,,1.2,0,250,0,30,0,2.2,-13.4,,
192,柳林,2018-01-04 13:00,3.8,0,,,1.1,0,230,0,25,0,2,-14.4,,
192,柳林,2018-01-04 14:00,4.6,0,,,1.1,0,160,0,22,0,1.9,-15.3,,
192,柳林,2018-01-04 15:00,5.2,0,,,1.3,0,110,0,21,0,1.8,-15.4,,
192,柳林,2018-01-04 16:00,5.2,0,,,1.4,0,110,0,21,0,1.8,-15.4,,
192,柳林,2018-01-04 17:00,4.5,0,,,1.1,0,110,0,21,0,1.8,-15.9,,
192,柳林,2018-01-04 18:00,4,0,,,.6,0,50,0,20,0,1.6,-16.9,,
192,柳林,2018-01-04 19:00,3.1,0,,,.6,0,90,0,24,0,1.8,-15.5,,
192,柳林,2018-01-04 20:00,2.5,0,,,0,0,0,0,28,0,2,-14.2,,
192,柳林,2018-01-04 21:00,2.4,0,,,1.1,0,340,0,40,0,2.9,-9.8,,
192,柳林,2018-01-04 22:00,1,0,,,.5,0,70,0,38,0,2.5,-11.7,,
192,柳林,2018-01-04 23:00,1.1,0,,,.7,0,20,0,34,0,2.3,-13,,
192,柳林,2018-01-05 00:00,.7,0,,,.3,0,0,0,40,0,2.6,-11.3,,
192,柳林,2018-01-05 01:00,.4,0,,,.3,0,0,0,42,0,2.6,-11,,
192,柳林,2018-01-05 02:00,.1,0,,,.6,0,70,0,49,0,3,-9.3,,
192,柳林,2018-01-05 03:00,.2,0,,,.2,0,0,0,46,0,2.9,-10,,
192,柳林,2018-01-05 04:00,.4,0,,,.4,0,0,0,53,0,3.3,-8,,
192,柳林,2018-01-05 05:00,.4,0,,,1.1,0,50,0,46,0,2.9,-9.8,,
192,柳林,2018-01-05 06:00,.3,0,,,.6,0,250,0,45,0,2.8,-10.2,,
192,柳林,2018-01-05 07:00,-.1,0,,,0,0,0,0,47,0,2.9,-10,,
192,柳林,2018-01-05 08:00,.6,0,,,1,0,320,0,48,0,3.1,-9.1,,
192,柳林,2018-01-05 09:00,1.4,0,,,.8,0,290,0,46,0,3.1,-8.9,,
192,柳林,2018-01-05 10:00,2.9,0,,,1.1,0,270,0,34,0,2.6,-11.4,,
192,柳林,2018-01-05 11:00,4.1,0,,,1.3,0,290,0,30,0,2.5,-11.9,,
192,柳林,2018-01-05 12:00,6.1,0,,,1.2,0,290,0,25,0,2.3,-12.5,,
192,柳林,2018-01-05 13:00,7,0,,,1.8,0,250,0,21,0,2.1,-13.8,,
192,柳林,2018-01-05 14:00,8,0,,,2.2,0,230,0,17,0,1.8,-15.6,,
192,柳林,2018-01-05 15:00,8,0,,,2.4,0,360,0,15,0,1.6,-17.1,,
192,柳林,2018-01-05 16:00,7.8,0,,,1.8,0,340,0,15,0,1.6,-17.2,,
192,柳林,2018-01-05 17:00,5.7,0,,,3.4,0,340,0,20,0,1.8,-15.5,,
192,柳林,2018-01-05 18:00,4.3,0,,,4,0,360,0,23,0,1.9,-15,,
192,柳林,2018-01-05 19:00,3.1,0,,,3.5,0,340,0,31,0,2.4,-12.4,,
192,柳林,2018-01-05 20:00,1.6,0,,,.9,0,50,0,38,0,2.6,-11.2,,
192,柳林,2018-01-05 21:00,1.4,0,,,1.7,0,340,0,40,0,2.7,-10.7,,
192,柳林,2018-01-05 22:00,.9,0,,,1.3,0,320,0,44,0,2.9,-10,,
192,柳林,2018-01-05 23:00,-1.6,0,,,.7,0,270,0,55,0,3,-9.4,,
192,柳林,2018-01-06 00:00,-2.4,0,,,.6,0,140,0,63,0,3.2,-8.4,,
